CreditScore,DTIRatio,Income,MonthsEmployed,Education,EmploymentType,LoanPurpose,ActualDefault,PredictedPD,LR_RiskDecile,Approved
658,0.37,106712,32,Master's,Full-time,Home,0,0.0690801303566768,2,1
801,0.49,90537,10,Master's,Self-employed,Education,0,0.12405439128766534,7,1
780,0.11,129707,112,Master's,Unemployed,Education,0,0.04352139330621864,1,1
332,0.85,115470,34,Bachelor's,Self-employed,Home,0,0.12028364931699066,6,1
690,0.38,24797,13,PhD,Part-time,Business,0,0.2081423437985454,10,0
828,0.12,75968,107,Master's,Self-employed,Business,0,0.059220130613097305,2,1
404,0.21,94443,21,Bachelor's,Self-employed,Home,0,0.12605031056122937,7,1
549,0.27,118235,88,PhD,Self-employed,Auto,0,0.05772685297242434,1,1
592,0.77,57863,8,Bachelor's,Part-time,Home,0,0.18899334330479975,10,0
634,0.25,135908,66,Master's,Part-time,Education,0,0.06072371878540912,2,1
679,0.54,60528,91,Master's,Part-time,Auto,1,0.09197458720232495,4,1
755,0.68,71872,22,PhD,Self-employed,Other,0,0.13385209247372779,7,1
735,0.87,131075,41,Bachelor's,Part-time,Education,0,0.09454637570811814,4,1
384,0.56,99191,56,Bachelor's,Self-employed,Business,1,0.1244809415553309,7,1
478,0.45,111638,22,Bachelor's,Full-time,Education,0,0.1059596173948522,5,1
339,0.54,47436,7,High School,Part-time,Business,1,0.2791661636816176,10,0
804,0.53,84279,114,High School,Full-time,Business,0,0.05752377996141519,1,1
736,0.21,63107,20,Master's,Unemployed,Other,0,0.15801882428035768,9,0
656,0.43,53737,75,Bachelor's,Self-employed,Home,0,0.0995673754499234,5,1
324,0.72,146565,22,Master's,Unemployed,Auto,1,0.1279312142142617,7,1
641,0.56,33221,55,Bachelor's,Unemployed,Education,1,0.18864457620679723,10,0
647,0.45,91055,73,Bachelor's,Part-time,Education,0,0.09291647939907209,4,1
714,0.25,142128,79,PhD,Part-time,Home,0,0.04076620393392984,1,1
544,0.88,132279,22,Bachelor's,Self-employed,Business,0,0.12604443586247663,7,1
349,0.54,82124,81,PhD,Part-time,Education,0,0.10076325360146741,5,1
392,0.89,102192,2,PhD,Self-employed,Business,0,0.17516057421089928,9,0
400,0.3,99894,83,Bachelor's,Self-employed,Education,0,0.08731658093270507,4,1
510,0.82,51282,35,PhD,Part-time,Auto,0,0.17488804879957806,9,0
409,0.42,40177,61,Bachelor's,Part-time,Education,0,0.1681586100066928,9,0
523,0.87,149688,87,PhD,Unemployed,Business,0,0.06887206350036797,2,1
572,0.64,17885,57,Bachelor's,Full-time,Other,0,0.15422065302764845,8,1
790,0.8,122669,38,High School,Full-time,Business,0,0.08773026841279159,4,1
643,0.54,130914,41,Bachelor's,Part-time,Education,1,0.0921208123615829,4,1
802,0.81,85947,100,Bachelor's,Full-time,Other,0,0.05991547713025071,2,1
834,0.27,117459,108,Master's,Full-time,Other,0,0.03331293992228667,1,1
605,0.19,142861,100,High School,Unemployed,Auto,0,0.06025993110257863,2,1
669,0.13,21048,58,High School,Part-time,Other,0,0.16660849340777786,9,0
432,0.49,115697,31,Bachelor's,Self-employed,Business,0,0.12840815174891107,7,1
337,0.45,100038,112,PhD,Self-employed,Other,0,0.06452894898653042,2,1
456,0.74,24733,72,PhD,Part-time,Auto,0,0.16092985174448127,9,0
477,0.59,32639,114,PhD,Part-time,Auto,0,0.10441943320002058,5,1
432,0.84,105715,17,Bachelor's,Full-time,Other,0,0.12975896777490872,7,1
714,0.48,117451,117,Master's,Self-employed,Education,0,0.044259188527670364,1,1
712,0.11,103300,119,High School,Part-time,Education,0,0.054513203847446,1,1
418,0.2,141163,68,High School,Full-time,Education,0,0.06097048267821583,2,1
677,0.3,148376,100,Master's,Full-time,Education,0,0.031623478310326074,1,1
378,0.13,122034,71,PhD,Full-time,Education,0,0.056071416434313806,1,1
808,0.41,136924,93,Master's,Part-time,Home,0,0.038247672067505324,1,1
412,0.33,140308,114,Bachelor's,Self-employed,Home,0,0.04259075559709998,1,1
797,0.33,18753,47,Bachelor's,Unemployed,Other,0,0.18963533214660003,10,0
551,0.81,127191,45,PhD,Self-employed,Business,0,0.09346304756897832,4,1
773,0.71,99175,111,PhD,Unemployed,Other,0,0.0629853912322754,2,1
316,0.57,124264,83,High School,Self-employed,Home,0,0.07662154651661045,3,1
462,0.44,125437,21,High School,Part-time,Auto,0,0.1325158177939358,7,1
321,0.28,74391,25,High School,Part-time,Home,0,0.16605907666306838,9,0
825,0.83,137683,54,Master's,Self-employed,Other,0,0.06546507911167293,2,1
391,0.76,69012,40,PhD,Full-time,Home,0,0.10879238022776709,6,1
671,0.53,38721,87,High School,Part-time,Education,0,0.13096571526750767,7,1
341,0.5,128156,67,Bachelor's,Full-time,Education,0,0.07181883320591739,3,1
615,0.14,40586,2,High School,Unemployed,Business,0,0.26812483801643977,10,0
359,0.62,106960,53,High School,Self-employed,Education,0,0.12607904834409517,7,1
514,0.27,101884,35,Bachelor's,Part-time,Auto,0,0.12162373857309067,7,1
556,0.14,93832,87,PhD,Self-employed,Other,0,0.06645743902897314,2,1
417,0.62,26290,15,Bachelor's,Part-time,Education,0,0.2645223963479255,10,0
364,0.66,28944,113,Master's,Self-employed,Other,0,0.11644059547135115,6,1
492,0.73,77969,48,Master's,Self-employed,Home,0,0.1124150022193573,6,1
769,0.37,77824,116,PhD,Self-employed,Education,0,0.054793204731443224,1,1
832,0.17,94465,69,High School,Self-employed,Other,0,0.07973458101439,3,1
636,0.89,46575,76,Bachelor's,Full-time,Education,0,0.11193048562306017,6,1
784,0.14,48862,66,Bachelor's,Full-time,Other,0,0.08894809173194163,4,1
381,0.72,27890,115,Master's,Full-time,Education,0,0.0955743855894529,5,1
438,0.83,34033,28,Bachelor's,Self-employed,Education,0,0.23257557561210176,10,0
804,0.53,117812,15,Master's,Self-employed,Business,1,0.10445729433772849,5,1
330,0.46,53851,95,PhD,Unemployed,Auto,0,0.12638103399531983,7,1
632,0.58,85006,77,Bachelor's,Self-employed,Home,0,0.08207304560385839,3,1
442,0.67,22147,34,Master's,Full-time,Auto,1,0.17865239615142892,9,0
829,0.6,53850,82,High School,Self-employed,Business,1,0.11548890407952929,6,1
776,0.66,116984,43,Master's,Self-employed,Business,0,0.08822914055313515,4,1
448,0.52,96232,95,PhD,Unemployed,Business,1,0.09208736345807411,4,1
538,0.67,141350,73,Bachelor's,Unemployed,Home,0,0.07205193147403341,3,1
371,0.58,18206,5,Master's,Self-employed,Other,0,0.2687392188708975,10,0
308,0.31,103419,27,Bachelor's,Full-time,Education,0,0.11595502046135818,6,1
326,0.41,63033,118,High School,Part-time,Business,0,0.10943885767502051,6,1
303,0.29,116788,56,Bachelor's,Full-time,Other,0,0.08248378045849171,3,1
644,0.57,68691,82,Bachelor's,Self-employed,Education,0,0.10174663405997524,5,1
525,0.78,116596,96,Master's,Full-time,Business,0,0.05625935636231926,1,1
792,0.85,55109,40,PhD,Unemployed,Business,1,0.1667522757494107,9,0
696,0.55,133738,67,High School,Full-time,Education,0,0.05952515154310184,2,1
655,0.83,138257,83,Master's,Self-employed,Auto,0,0.05797277397203806,1,1
600,0.7,127957,46,Master's,Part-time,Other,0,0.08708684640003023,4,1
495,0.3,52291,41,PhD,Part-time,Home,0,0.12793372857567922,7,1
522,0.55,27853,95,High School,Part-time,Business,0,0.1542020951241472,8,1
799,0.82,99117,86,High School,Unemployed,Education,0,0.09715267660559487,5,1
809,0.79,30268,13,High School,Part-time,Home,0,0.20685936774123317,10,0
373,0.81,149236,77,High School,Self-employed,Home,0,0.06850296684353402,2,1
747,0.39,28161,96,Master's,Part-time,Other,0,0.1018311217058795,5,1
331,0.7,111430,57,High School,Self-employed,Auto,0,0.1237011086715491,7,1
651,0.36,21856,114,Master's,Full-time,Other,0,0.07660011729854409,3,1
463,0.42,16859,53,High School,Self-employed,Education,0,0.20861002221977148,10,0
819,0.87,66361,6,PhD,Self-employed,Home,0,0.13915908823820156,8,1
511,0.52,100552,119,High School,Part-time,Auto,1,0.07146000450504762,2,1
843,0.71,131178,74,PhD,Part-time,Business,0,0.05951397901875023,2,1
742,0.41,78631,117,High School,Part-time,Auto,0,0.07162845010739044,2,1
702,0.69,42866,86,Master's,Unemployed,Auto,0,0.1276277238825577,7,1
419,0.63,143648,83,Bachelor's,Unemployed,Education,1,0.08077729798820169,3,1
568,0.62,55535,58,Bachelor's,Full-time,Auto,0,0.11868984868769634,6,1
465,0.72,111618,88,High School,Unemployed,Business,0,0.111074962424487,6,1
400,0.67,112342,80,PhD,Part-time,Other,0,0.0807932724226218,3,1
712,0.17,60314,31,PhD,Full-time,Other,0,0.10030147575591579,5,1
747,0.45,58295,55,High School,Full-time,Home,0,0.09422555017449309,4,1
514,0.55,70573,11,PhD,Unemployed,Other,0,0.19206887824905705,10,0
524,0.82,33549,75,PhD,Full-time,Auto,0,0.11545123512657039,6,1
338,0.77,131279,92,High School,Unemployed,Education,0,0.09662720315230289,5,1
543,0.67,81533,114,High School,Part-time,Education,0,0.08688356582054438,4,1
456,0.78,117006,65,Bachelor's,Full-time,Education,0,0.0793674044767058,3,1
800,0.87,15984,49,High School,Unemployed,Business,1,0.24138917774216162,10,0
627,0.31,121973,6,Master's,Full-time,Business,0,0.0940707788515633,4,1
391,0.73,70577,54,Master's,Self-employed,Business,1,0.14605426734783367,8,1
759,0.68,133606,88,Bachelor's,Full-time,Education,1,0.045950168158880256,1,1
655,0.35,82013,33,PhD,Unemployed,Home,0,0.11555286867945916,6,1
821,0.16,55189,76,Bachelor's,Full-time,Auto,0,0.07780577668607015,3,1
477,0.1,16740,105,PhD,Self-employed,Auto,1,0.10745526922183164,6,1
701,0.13,122116,12,PhD,Part-time,Auto,0,0.09502127034409551,4,1
410,0.76,140107,21,Master's,Full-time,Education,0,0.08878753713698531,4,1
454,0.57,118196,109,Bachelor's,Self-employed,Education,0,0.0636339311052165,2,1
809,0.16,34471,33,Master's,Unemployed,Auto,0,0.1670421866849647,9,0
755,0.6,94427,48,Bachelor's,Self-employed,Other,0,0.10340466122723087,5,1
680,0.59,146545,38,High School,Unemployed,Auto,0,0.10336599712724923,5,1
305,0.36,87418,98,Bachelor's,Self-employed,Auto,0,0.09213755931512506,4,1
302,0.29,131385,99,Bachelor's,Self-employed,Other,0,0.06370807633973834,2,1
369,0.76,132360,71,Bachelor's,Self-employed,Auto,0,0.08768189462039061,4,1
544,0.53,30893,86,Bachelor's,Part-time,Other,0,0.13974045489716203,8,1
702,0.15,47437,70,PhD,Unemployed,Other,0,0.1168360068381723,6,1
486,0.45,121464,52,PhD,Unemployed,Business,0,0.10378802622800694,5,1
340,0.21,93434,90,Bachelor's,Full-time,Education,0,0.07144501144594524,2,1
788,0.25,93309,42,PhD,Unemployed,Business,0,0.10845190205248367,6,1
661,0.6,19472,27,Bachelor's,Self-employed,Auto,0,0.21736583925288114,10,0
657,0.83,138648,113,PhD,Full-time,Other,0,0.034325547111935945,1,1
772,0.41,68519,114,Bachelor's,Self-employed,Other,0,0.06876032545461384,2,1
323,0.83,61332,28,PhD,Self-employed,Home,0,0.16227813965902937,9,0
342,0.64,99754,3,High School,Part-time,Home,0,0.17726670980379514,9,0
704,0.28,143916,44,Master's,Part-time,Home,0,0.05691963790326229,1,1
546,0.22,69049,58,Master's,Self-employed,Home,0,0.09387249137684224,4,1
588,0.81,80816,70,High School,Unemployed,Auto,0,0.1437891209021506,8,1
376,0.3,122163,93,Master's,Part-time,Auto,0,0.0650601599219726,2,1
564,0.3,111113,90,PhD,Self-employed,Education,0,0.05939827088152675,2,1
629,0.72,149069,19,Bachelor's,Self-employed,Other,0,0.0977665887720919,5,1
768,0.7,36361,20,Master's,Part-time,Education,0,0.18504991428506676,9,0
675,0.87,146797,90,Bachelor's,Part-time,Auto,0,0.05865589126870122,2,1
650,0.49,70119,100,PhD,Unemployed,Auto,0,0.08895151147903421,4,1
822,0.2,60532,39,Master's,Full-time,Education,0,0.09180150251662911,4,1
832,0.72,44133,12,PhD,Unemployed,Education,0,0.19819357691552555,10,0
605,0.84,121221,15,High School,Part-time,Other,0,0.1428429329112353,8,1
312,0.89,84231,58,High School,Unemployed,Business,0,0.1927095168178355,10,0
414,0.41,90743,103,Master's,Unemployed,Home,0,0.07520529695464924,3,1
559,0.2,37703,14,High School,Self-employed,Business,1,0.22770641372201997,10,0
364,0.41,39444,71,Bachelor's,Unemployed,Education,0,0.18226298225927273,9,0
652,0.71,123795,1,High School,Full-time,Other,0,0.11718423496016407,6,1
474,0.74,18213,66,Master's,Part-time,Home,0,0.15600919034271052,8,1
610,0.63,22118,78,Bachelor's,Part-time,Business,0,0.16498626971854852,9,0
619,0.33,120187,18,High School,Unemployed,Business,0,0.14889551491593786,8,1
468,0.41,126125,108,High School,Part-time,Education,1,0.06396650167112984,2,1
707,0.68,62019,63,Master's,Self-employed,Other,1,0.11070647780707002,6,1
466,0.71,104712,98,Master's,Unemployed,Auto,0,0.08617931860426215,4,1
656,0.12,73048,55,Master's,Part-time,Other,0,0.10074180766824338,5,1
482,0.73,104172,43,PhD,Unemployed,Auto,0,0.12931883895825855,7,1
794,0.32,59831,78,PhD,Self-employed,Other,0,0.08311180324988164,3,1
798,0.67,71581,26,High School,Part-time,Other,0,0.15834369737788664,9,0
413,0.19,121741,6,High School,Full-time,Education,0,0.1169928018729171,6,1
541,0.47,108588,41,Master's,Unemployed,Education,0,0.11793458597227321,6,1
803,0.41,24402,64,High School,Unemployed,Other,0,0.17476026686750185,9,0
338,0.87,42971,76,High School,Unemployed,Home,0,0.18170863332093168,9,0
612,0.55,130044,117,Bachelor's,Part-time,Education,0,0.0503978973228694,1,1
659,0.44,24856,54,Master's,Unemployed,Business,0,0.18612694321144496,9,0
638,0.47,118813,119,Bachelor's,Part-time,Business,0,0.05517094686392564,1,1
558,0.88,46200,69,Master's,Part-time,Auto,0,0.14258159744534732,8,1
780,0.13,69470,50,Master's,Unemployed,Business,0,0.12170499282756073,7,1
599,0.4,141026,98,Master's,Unemployed,Other,1,0.054471738916493886,1,1
761,0.24,65665,48,PhD,Full-time,Education,0,0.08344412537487203,3,1
623,0.57,129906,67,Bachelor's,Full-time,Auto,0,0.060457759431702875,2,1
697,0.36,53830,100,Bachelor's,Unemployed,Other,0,0.10592701410702247,5,1
600,0.73,121769,73,High School,Full-time,Other,0,0.06883922428733795,2,1
336,0.89,144250,63,PhD,Part-time,Education,0,0.08137437565235238,3,1
805,0.36,99586,50,High School,Full-time,Business,0,0.08333931381279808,3,1
389,0.58,60044,59,High School,Self-employed,Home,0,0.14180682596565117,8,1
325,0.19,142572,36,Master's,Self-employed,Business,1,0.09120006926059028,4,1
530,0.17,38227,64,High School,Full-time,Home,1,0.10830198788269457,6,1
505,0.17,99208,66,PhD,Part-time,Education,0,0.08247656747613026,3,1
310,0.19,45620,89,PhD,Self-employed,Home,0,0.09678766034636739,5,1
337,0.32,54990,112,High School,Self-employed,Home,0,0.09352729404510048,4,1
302,0.22,100269,78,Master's,Unemployed,Home,0,0.0879398252344225,4,1
796,0.69,24469,34,Master's,Self-employed,Business,0,0.18128531099366255,9,0
800,0.68,136023,2,Master's,Full-time,Other,1,0.08095263631855694,3,1
795,0.87,137864,13,High School,Unemployed,Education,0,0.13302978174270022,7,1
604,0.89,44583,89,Master's,Part-time,Home,0,0.10369784821148553,5,1
737,0.81,89235,93,Bachelor's,Part-time,Education,0,0.08297144246505746,3,1
763,0.69,88685,53,High School,Full-time,Business,0,0.09868695577818251,5,1
771,0.49,67918,105,High School,Self-employed,Auto,0,0.08300040124562881,3,1
677,0.72,59753,35,High School,Part-time,Other,0,0.17428098044133833,9,0
593,0.69,111936,20,Bachelor's,Unemployed,Education,1,0.15248096388365492,8,1
423,0.52,86858,113,Master's,Part-time,Education,0,0.07347005788524837,3,1
529,0.34,103185,77,PhD,Full-time,Auto,0,0.05942569725515004,2,1
506,0.49,76003,14,PhD,Full-time,Other,0,0.1264040858665038,7,1
431,0.14,73381,65,Master's,Self-employed,Home,0,0.09052140816445102,4,1
652,0.37,102887,4,PhD,Self-employed,Auto,0,0.12346634205146406,7,1
563,0.38,27966,26,Master's,Unemployed,Auto,0,0.22176101700850376,10,0
714,0.29,81635,68,Bachelor's,Part-time,Home,0,0.08242308723654317,3,1
696,0.18,35647,105,Master's,Part-time,Auto,0,0.08885898571668838,4,1
742,0.4,91621,119,PhD,Self-employed,Business,0,0.05234385181582436,1,1
430,0.63,40257,51,PhD,Full-time,Business,0,0.14073785903502928,8,1
698,0.69,18729,83,Bachelor's,Part-time,Other,0,0.1475539182423985,8,1
328,0.14,84808,58,High School,Full-time,Education,0,0.10522293090359315,5,1
600,0.14,78313,56,PhD,Part-time,Education,0,0.09752726463446687,5,1
757,0.5,95925,29,High School,Unemployed,Education,0,0.1473336698077401,8,1
804,0.79,72047,90,Master's,Self-employed,Auto,0,0.08105899900800487,3,1
808,0.52,122424,102,High School,Part-time,Home,0,0.048961659474787665,1,1
828,0.52,19781,67,PhD,Full-time,Other,0,0.10273101648228727,5,1
560,0.42,124568,77,Master's,Self-employed,Home,0,0.05512621232672396,1,1
393,0.18,97773,28,Master's,Full-time,Other,0,0.09900330376049994,5,1
